timestamp,tender_id,title,organization,estimated_value,deadline,days_until_due,priority_score,qualification_score,combined_score,cable_type,voltage,length_km,cores,armoring,conductor_material,insulation_type,standards
2025-11-08T13:14:18,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-08T13:26:00,LOCAL-002,33 kV Distribution Cables Supply - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-08T18:16:22,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-08T21:36:59,LOCAL-002,33 kV Distribution Cables Supply - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-08T23:19:58,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-08T23:40:12,LOCAL-002,33 kV Distribution Cables Supply - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T01:18:57,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-09T16:47:33,PG-DEMO-33KV-001,Supply of 33 kV XLPE 3-Core Copper Armored Cables (150 sqmm) — Turnkey Substation Package,POWERGRID Corporation of India Limited,150000000,2025-12-20T17:30:00Z,,0.750,0.795,0.795,XLPE,33 kv,,3-core,Armored,Copper,XLPE,BS 6622
2025-11-09T16:49:31,SEB-maharashtra-66837,"Annual tender for the workof Preventive Maintenance of DTC, LT & HT overhead lines & underground cables in Binaki (O&M) Sub-division under Gandhibag Division of Nagpur Urban CircleNovember 3, 2025, 5:",Maharashtra Electricity Board,0,,,0.550,0.720,0.720,General,Unknown,,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T17:04:34,PG-DEMO-33KV-001,Supply of 33 kV XLPE 3-Core Copper Armored Cables (150 sqmm) — Turnkey Substation Package,POWERGRID Corporation of India Limited,150000000,2025-12-20T17:30:00Z,,0.750,0.795,0.795,XLPE,33 kv,,3-core,Armored,Copper,XLPE,BS 6622
2025-11-09T17:12:28,TD-DEMO-33KV-001,Supply of 33 kV XLPE 3-Core Copper Armored Power Cables,State Electricity Board,250000000,21/11/2025,,0.750,0.795,0.795,XLPE,33 kv,,3-core,Armored,Copper,XLPE,IS 7098
2025-11-09T17:55:30,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T18:55:16,TD-DEMO-33KV-001,Supply of 33 kV XLPE 3-Core Copper Armored Power Cables,State Electricity Board,250000000,21/11/2025,,0.750,0.795,0.795,XLPE,33 kv,,3-core,Armored,Copper,XLPE,IS 7098
2025-11-09T18:55:23,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T19:56:05,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T20:57:23,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T21:58:04,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T22:59:49,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T00:01:07,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T01:49:45,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T02:50:48,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T03:51:54,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T11:06:00,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T12:06:49,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T16:40:21,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T17:41:12,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T18:42:13,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T19:58:06,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T21:25:39,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T22:26:53,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-10T23:27:50,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T00:28:40,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T01:29:44,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T02:30:26,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T04:29:50,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T12:02:00,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T13:02:48,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T14:03:30,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T17:27:04,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T19:40:29,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T21:24:42,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T22:43:46,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-11T23:46:10,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T00:47:02,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T04:10:20,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T12:43:44,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T13:44:25,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T15:16:00,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T16:17:21,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T19:33:40,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T20:34:49,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T21:36:09,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-12T22:37:49,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T00:18:11,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T01:19:34,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T02:20:22,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T09:28:44,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T10:29:26,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T11:30:09,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T12:30:44,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T13:31:33,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T18:46:46,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T19:47:59,NTPC/IND/2025/LV-CABLE/003,Low Voltage (440V) Control Cables for Industrial Plant - 10 KM,"NTPC Limited, Dadri Plant, Uttar Pradesh",5000000.0,2025-12-15T17:00:00Z,,0.550,0.830,0.830,General,440v,10.0,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-13T20:49:14,PGCIL/2025/CABLE/33KV/001,Supply of 33 kV XLPE Distribution Cables - 500 KM,"Power Grid Corporation of India Limited, Delhi",125000000.0,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kv,500.0,3-core,Unarmored,Copper,XLPE,IS 7098
